codigo,nombre,tipo,espesor,placaLargo,placaAncho,precioPlaca,codigoDiac,descripcionDiac
,Ench Teka,mdf,19,2750,1830,306630,2012052601833222,Ench Euca MDF Teka 19mm 2.75x1.83m Rec LEX18
,Ench Teka,mdf,19,2500,1830,199230,2012052601833219,Ench Euca MDF Teka 19mm 2.50x1.83m Rec LC
,Ench Teka Hindu,mdf,19,2600,1830,260668,2012052601833223,Ench Euca MDF Teka Hindu 19mm 2.60x1.83m
,Ench Toona,mdf,19,2600,1830,176957,2012052601833230,Ench Euca MDF Toona 19mm 2.60x1.83m  LN
,Ench Wengue,mdf,19,2600,1830,186654,2012052601832119,Ench Euca MDF Wengue 19mm 2.60x1.83m LC
,Ench Wengue,mdf,19,2600,1830,298051,2012052601831019,Ench MDF Wengue 19mm 2.60x1.83m Rec X12
,Ench Zebrano 2,mdf,19,2600,1830,363944,2012052601833236,Ench Euca MDF Zebrano 2 19mm 2.60x1.83m Rec LEX24
,Ench Zebrawood,mdf,19,2500,1830,247548,2012052601833235,Ench Euca MDF Zebrawood 19mm 2.50x1.83m Rec LEX30
,Nova,mdf,22,1830,3660,123457,201204183366022,MDF Nova 22 mm. 1.83x3.66m.
,Crudo Pino - 1324473,mdf,25,1830,2600,114788,201220183260225,MDF Crudo Pino 25mm1.83x2.60m - 1324473
,Ench N Rayado,mdf,25,2500,1830,295167,2012052601830800,Ench Euca MDF N Rayado 25mm 2.50x1.83m Rec LC
,Ench N Rayado Rec,mdf,25,2500,1830,295167,2012052601830550,Ench Euca MDF N Rayado 25mm 2.50x1.83m Rec
,Nova,mdf,25,1830,3660,150396,201204183366025,MDF Nova 25 mm. 1.83x3.66m.
,Ench,mdf,26,2600,1830,161502,2012052601830026,Ench Euca MDF Guatambu 26mm 2.60x1.83m.LN
,Ench -Mogno,mdf,26,2600,1830,184006,2012052601830226,Ench Euca MDF Simil-Mogno 26mm 2.60x1.83m LN
,Ench Caoba,mdf,26,2600,1830,184006,2012052601830426,Ench Euca MDF Caoba 26mm 2.60x1.83m LN
,Ench Cedrillo,mdf,26,2600,1830,174740,2012052601830826,Ench Euca MDF Cedrillo 26mm 2.60x1.83m LN
,Ench Cedro,mdf,26,2600,1830,178711,2012052601830526,Ench Euca MDF Cedro 26mm 2.60x1.83m LN
,Ench Cerejeira,mdf,26,2600,1830,288719,2012052601830326,Ench Euca MDF Cerejeira 26mm 2.60x1.83m LN
,Ench Jequetiba,mdf,26,2600,1830,182682,2012052601830726,Ench Euca MDF Jequetiba 26mm 2.60x1.83m LN
,Ench Pino,mdf,26,2600,1830,14032.1,2012052601830126,Ench Euca MDF Pino 26mm 2.60x1.83m LN
,Ench Jequetiba,mdf,30,2750,1830,288456,2012052751832530,Ench MDF Jequetiba 30mm2.75x1.83m LN
,Nova,mdf,30,1830,3660,196156,201204183366030,MDF Nova 30 mm. 1.83x3.66m.
,Nova (2°),mdf,30,1830,3660,176540,201204183366230,MDF Nova (2°) 30 mm. 1.83x3.66m.
,Tempora (2°),mdf,30,1830,3660,165050,201204183366330,MDF Tempora (2°) 30 mm. 1.83x3.66m
,Carvalho MD28 Nature,melamina,0.8,1250,3080,147021,101101002810,Carvalho mel MD28 Nature 0.8mm 1.25x3.08m
,F Ferrum blanco,melamina,18,1830,3660,114813,201204183366618,F Mel Ferrum 18mm blanco 1.83x3.66m
,Eurolight Alerce bco 1222214,melamina,38,2800,2070,453042,2012201222214,Eurolight Mel 38mm Alerce bco 2.80x2.07m 1222214
,Eurolight Alerce marron 1459906,melamina,38,2800,2070,453042,2012201199807,Eurolight Mel 38mm Alerce marron 2.80x2.07M1459906
,Eurolight H3325ST28 R Gladst tab,melamina,38,2800,2070,453042,1021251,Eurolight Mel H3325ST28 R Gladst tab38mm2.80x2.07m
,Eurolight H3335ST28 R Gladst bco,melamina,38,2800,2070,453042,1222019,Eurolight Mel H3335ST28 R Gladst bco38mm2.80x2.07m
