codigoEgger,nombreEgger,categoria,tipo,espesor,codigoDiac,descripcionDiac,precio
H1253 ST19,Robinia Branson Marron Trufa,egger-reproducciones-madera,mdf,18,1419868,EDK MDF H1253ST19 Rob Brans mar/trufa 18mmx2.60m,129259
H1312 ST10,Roble Whiteriver Beige Arena,egger-reproducciones-madera,mdf,18,1419861,EDK MDF H1312ST10 R Whiteriver bl18mmx2.60m1419861,146096
H1313 ST10,Roble Whiteriver Gris Marron,egger-reproducciones-madera,mdf,18,1419854,EDK MDF H1313ST10 R White.G marr18mmx2.60m1419854,122408
H1387 ST10,Roble Denver Grafito,egger-reproducciones-madera,mdf,18,1419847,EDK MDF H1387ST10 R Denver grafi 18mmx2.60m1419847,116466
H1399 ST10,Roble Denver Marron Trufa,egger-reproducciones-madera,mdf,18,1419562,EDK MDF H1399ST10 R Denver rebeco trufa18mmx2.60m,131729
H1401 ST22,Pino Cascina,egger-reproducciones-madera,mdf,18,1419555,EDK MDF H1401ST22 Pino Cascina 18mmx2.60m1419555,135853
H1424 ST22,Fineline Crema,egger-reproducciones-madera,mdf,18,1419548,EDK MDF H1424ST22 Finel crema 18mm x2.60m1419548,116466
H1710 ST10,Castano Kentucky Arena,egger-reproducciones-madera,mdf,18,1419541,EDK MDF H1710ST10 Castaño Kent arena 18mmx2.60m,122408
H1714 ST19,Nogal Lincoln,egger-reproducciones-madera,melamina,18,1418965,EDK AGL H1714ST19 N Lincoln 18mmx2.60m 1418965,112284
H1714 ST19,Nogal Lincoln,egger-reproducciones-madera,mdf,18,1419590,EDK MDF H1714ST19 N Lincoln 18mmx2.60m1419590,146096
H3012 ST22,Coco Bolo,egger-reproducciones-madera,melamina,18,1419027,EDK AGL H3012ST22 Coco bolo 18mmx2.60m 1419027,100177
H3012 ST22,Coco Bolo,egger-reproducciones-madera,mdf,18,1419583,EDK MDF H3012ST22 Coco bolo 18mmx2.60m1419583,131729
H3131 ST12,Roble Davos Natural,egger-reproducciones-madera,mdf,18,1419576,EDK MDF H3131ST12 R Davos nat 18mmx2.60m1419576,135853
H3133 ST12,Roble Davos Trufa Marron,egger-reproducciones-madera,mdf,18,1419569,EDK MDF H3133ST12 R Davos reb.18mmx2.60m1419569,135853
H3158 ST19,Roble Vicenza Gris,egger-reproducciones-madera,mdf,18,1419506,EDK MDF H3158ST19 R Vicenza gris 18mmx2.60m1419506,146096
H3170 ST12,Roble Kendal Natural,egger-reproducciones-madera,melamina,18,1418915,EDK AGL H3170ST12 R Kendal nat 18mmx2.60 1418915,94928.8
H3170 ST12,Roble Kendal Natural,egger-reproducciones-madera,mdf,18,1419499,EDK MDF H3170ST12 R Kendal nat 18mmx2.60m1419499,122408
H3190 ST19,Fineline Metallic Antracita,egger-reproducciones-madera,mdf,18,1419475,EDK MDF H3190ST19 Finel Met antra18mmx2.60m1419475,122408
H3192 ST19,Fineline Metallic Marron,egger-reproducciones-madera,mdf,18,1419479,EDK MDF H3192ST19 Finel Met cafe18mmx2.60m1419479,129259
H3331 ST10,Roble de Nebraska Natural,egger-reproducciones-madera,melamina,18,1418957,EDK AGL H3331ST10 R Nebraska nat 18mmx2.60m1418957,100177
H3331 ST10,Roble de Nebraska Natural,egger-reproducciones-madera,mdf,18,1419534,EDK MDF H3331ST10 R Nebraska nat 18mmx2.60m1419534,131729
H3332 ST10,Roble de Nebraska Gris,egger-reproducciones-madera,mdf,18,1419527,EDK MDF H3332ST10 R Nebraska gris18mmx2.60m1419527,131729
H3335 ST28,Roble Gladstone Blanco,egger-reproducciones-madera,melamina,18,1065340,EDK MDP H3335ST28 R Gladst bco18mm2.8x2.07m,221251
H3349 ST19,Roble Kaiserberg,egger-reproducciones-madera,melamina,18,1418937,EDK AGL H3349ST19 R Kaiserberg 18mmx2.60m1418937,112284
H3349 ST19,Roble Kaiserberg,egger-reproducciones-madera,mdf,18,1419520,EDK MDF H3349ST19 R Kaiserberg 18mmx2.60m1419520,146096
H3404 ST38,Alerce Marron,egger-reproducciones-madera,melamina,18,1220321,EDK MDP H3404ST38 Alerce Marr 18mm2.8x2.07m1220321,221251
H3406 ST38,Alerce Antracita,egger-reproducciones-madera,melamina,18,1189491,EDK MDP H3406ST38 Alerce Antr 18mm2.8x2.07m1189491,221251
H3430 ST22,Pino Aland Blanco,egger-reproducciones-madera,mdf,18,1419513,EDK MDF H3430ST22 Pino Aland bco.18mmx2.60m1419513,146096
H3451 ST22,Fleetwood Champagne,egger-reproducciones-madera,melamina,18,1419135,EDK AGL H3451ST22 Fleetw champan 18mmx2.60m1419135,100212
H3451 ST22,Fleetwood Champagne,egger-reproducciones-madera,mdf,18,1419672,EDK MDF H3451ST22 Fleetw.champ. 18mmx2.60m1419672,129259
H3730 ST10,Hickory Natural,egger-reproducciones-madera,melamina,18,1419125,EDK AGL H3730ST10 Hickory nat 18mmx2..60m 1419125,105325
H3730 ST10,Hickory Natural,egger-reproducciones-madera,mdf,18,1419665,EDK MDF H3730ST10 Hickory nat 18mmx2.60m1419665,135853
U114 ST9,Amarillo Girasol,egger-unicolores,mdf,18,1419761,EDK MDF U114ST9 A Girasol 18mmx2.60m1419761,125446
U131 ST9,Amarillo Limon,egger-unicolores,mdf,18,1419810,EDK MDF U131ST9 A Limon 18mmx2.60m1419810,116466
U311 ST9,Rojo Burgundy,egger-unicolores,mdf,18,1419803,EDK MDF U311ST9 Rojo Violaceo 18mmx2.60m1419803,116466
U323 ST9,Rojo Cereza,egger-unicolores,melamina,18,1419307,EDK AGL U323ST9 Rojo Cereza 18mmx2.60m  1419307,96313.9
U323 ST9,Rojo Cereza,egger-unicolores,mdf,18,1419796,EDK MDF U323ST9 Rojo Cereza 18mmx2.60m1419796,125446
U325 ST9,Rosa Antiguo,egger-unicolores,mdf,18,1419789,EDK MDF U325ST9 Rosa Antiguo 18mmx2.60m1419789,125446
U350 ST9,Naranja de Siena,egger-unicolores,mdf,18,1419726,EDK MDF U350ST9 Naranja Siena 18mmx2.60m1419726,125446
U504 ST9,Azul Cosmico,egger-unicolores,mdf,18,1419719,EDK MDF U504ST9 Azul cosmico 18mmx2.60m1419719,125446
U626 ST9,Verde Kiwi,egger-unicolores,mdf,18,1419712,EDK MDF U626ST9 Verde Kiwi 18mmx2.60m1419712,125445
U727 ST9,Gris Arcilla,egger-unicolores,melamina,18,1419186,EDK AGL U727ST9 G Arcilla 18mmx2.60 1419186,94928.8
U727 ST9,Gris Arcilla,egger-unicolores,mdf,18,1419751,EDK MDF U727ST9 G Arcilla 18mmx2.60m1419751,122408
U732 ST9,Gris Macadan,egger-unicolores,melamina,18,1419192,EDK AGL U732ST9 G Macadan 18mmx2.60 1419192,94928.8
U732 ST9,Gris Macadan,egger-unicolores,mdf,18,1419744,EDK MDF U732ST9 G Macadan 18mmx2.60m1419744,122408
